0	0	1	2	3	4	5
0	123.19	120.1	95.2	75.7	73.88	59.28
1	87.42	102.96	70.63	66.49	52.73	46.86
2	89.2	91.41	82.69	97.14	53.87	58.17
3	104.79	111.61	102.62	80.42	73.37	50.18
4	109.33	88.34	99.4	71.07	78.9	48.25
5	76.86	109.67	101.37	85.25	62.53	59.13
6	84.27	132.43	99.97	66.47	52.8	39.21
7	105.92	112.63	100.4	78.42	63.44	53.45
8	112.15	89.49	68.15	63.37	76.68	42.28
9	80.3	99.15	85.01	68.29	66.2	48.43
10	86.24	103.46	69.61	66.77	77.9	50.91
11	93.58	105.93	88.91	76.68	78.88	50.77
12	112.64	129.32	75.77	82.34	69.81	39.55
13	102.19	135.77	73.76	99.43	79.49	52.77
14	112.32	123.42	80.85	62.73	78.72	40.84
15	95.82	82.52	108.32	75.21	65.67	40.45
16	90.64	134.55	90.57	76.22	78.44	-1
17	104.32	132.09	97.65	72.07	-1	-1
18	121.97	115.34	71.83	-1	-1	-1
19	86.18	116.69	-1	-1	-1	-1
20	107.02	-1	-1	-1	-1	-1
