1970	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1971	0.002	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1972	0.003	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1973	0.004	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1974	0.005	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1975	0.006	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1976	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1977	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1978	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1979	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1980	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1981	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1982	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008
